area;transect;tree;common_name;scientific_name;family_name;WSD;DBH;BA;AGB;area_sampled;BA_AS;AGB_AS;type;canopy;light;dead;d_class;Hcom;Htot;RN;RS;RE;RW;date;UTM_Easting;UTM_Northing;;;
JAM_A02;T01;61;UXIRANA;Sacoglottis guianensis;Humiriaceae;0.84;13;0.013273229;0.060196563;0.13;0.102101761;0.463050485;O;S;2;A;NA;5.78;8.33;1.1;1;1.6;1.3;20111206;498870.6781;8990449.553;;;
JAM_A02;T01;62;TAXI VERMELHO;Tachigali alba;Fabaceae;0.56;31.2;0.076453799;0.791958893;0.312;0.245044227;2.538329785;O;C;2;A;NA;19.03;28.53;4.5;4.5;4.4;5.1;20111206;498875.5872;8990450.304;;;
JAM_A02;T01;63;QUARUBA;Vochysia guianensis;Vochysiaceae;0.51;28;0.061575216;0.434411178;0.28;0.219911486;1.551468494;O;C;3;A;NA;15.4;21.4;3.5;2.7;2.9;2.5;20111206;498873.892;8990450.721;;;
JAM_A02;T01;64;AÇAI;Euterpe oleracea;Arecaceae;NA;11.1;0.009676891;0.028059707;0.111;0.087179196;0.25279015;P;S;2;A;NA;8.72;12.78;2;2;2;2;20111206;498871.0945;8990450.949;;;
JAM_A02;T01;65;ENVIRA PRETA;Guatteria schomburgkiana;Annonaceae;0.6;54.2;0.230721706;3.174903382;0.542;0.425685805;5.857755318;O;E;1;A;NA;21.59;35.39;5.1;4;3.8;5.7;20111206;498873.1307;8990454.029;;;
JAM_A02;T01;66;UCUUBA;Virola melinoni;Myristicaceae;0.48;20.2;0.032047387;0.182740096;0.202;0.158650429;0.904653939;O;S;2;A;NA;12.44;18.48;2.5;1.9;1.8;2.4;20111206;498873.0507;8990455.73;;;
JAM_A02;T01;67;IPE AMARELO;Handroanthus serratifolius;Bignoniaceae;0.62;9.8;0.007542964;0.04143377;0.098;0.07696902;0.422793574;O;S;2;A;NA;8.65;13.67;1.8;1.9;2;1.3;20111206;498871.6323;8990479.745;;;
JAM_A02;T01;68;INHARE;Helicostylis sp.;Moraceae;0.65;21.9;0.037668481;0.368814746;0.219;0.172002198;1.684085598;O;C;2;A;NA;12.85;23.15;0;2.3;1.3;1.7;20111206;498871.9346;8990479.942;;;
JAM_A02;T01;69;MUTUTI;Pterocarpus sp.;Fabaceae;0.51;33.1;0.086049008;0.685513217;0.331;0.259966792;2.071036909;O;C;2;A;NA;18.34;24;1.3;2;3;0;20111206;498872.6733;8990483.235;;;
JAM_A02;T01;70;ABIU VERMELHO;Pouteria cladantha;Sapotaceae;0.94;24.4;0.046759465;0.833448065;0.244;0.191637152;3.41577076;O;C;1;A;NA;18.99;29.18;1.8;1;1.6;1.5;20111206;498872.7847;8990492.734;;;
JAM_A02;T01;71;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;17.4;0.023778715;0.221768515;0.174;0.13665928;1.274531695;O;S;1;A;NA;11.45;20.33;1.9;2.2;2.1;2;20111206;498872.0408;8990506.042;;;
JAM_A02;T01;72;PAU JACARE;Laetia procera;Salicaceae;0.63;39.1;0.120072457;1.60367455;0.391;0.307090682;4.101469437;O;C;1;A;NA;25.07;32.56;2;3.3;2.1;0;20111206;498873.5466;8990506.527;;;
JAM_A02;T01;73;PAU JACARE;Laetia procera;Salicaceae;0.63;43.3;0.147253516;1.562436792;0.433;0.340077405;3.608399058;O;C;1;A;NA;19.03;25.86;3.7;2.4;2;2.9;20111206;498873.2841;8990509.73;;;
JAM_A02;T01;74;INHARE;Helicostylis sp.;Moraceae;0.65;40.8;0.13074052;2.154584216;0.408;0.320442451;5.280843666;O;C;1;A;NA;17.5;38.97;2.9;5.1;2;4;20111206;498873.2718;8990525.731;;;
JAM_A02;T01;75;URUCURANA;Sloanea guianensis;Elaeocarpaceae;0.82;40;0.125663706;1.734665689;0.4;0.314159265;4.336664222;O;C;1;A;NA;19.45;25.94;4.8;1.5;3.2;2.7;20111206;498877.4916;8990527.389;;;
JAM_A02;T01;76;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;19.3;0.029255296;0.226204909;0.193;0.151581846;1.172046159;O;S;1;A;NA;11.04;16.86;3.1;2.6;2.7;1.9;20111206;498872.6856;8990535.437;;;
JAM_A02;T01;77;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;27.5;0.059395736;0.635487368;0.275;0.215984495;2.310863158;O;C;2;A;NA;10.33;23.32;2.9;1.5;2.1;2.3;20111206;498873.4698;8990551.13;;;
JAM_A02;T01;78;ANANI;Symphonia globulifera;Clusiaceae;0.6;37.5;0.110446617;1.523836617;0.375;0.294524311;4.063564311;O;C;2;A;NA;22.2;35.48;1.3;3.3;1.8;2.4;20111206;498873.9715;8990568.326;;;
JAM_A02;T01;79;MANDIOQUEIRA;Qualea paraensis;Vochysiaceae;0.69;18.1;0.025730429;0.223076617;0.181;0.142157068;1.232467497;O;C;1;A;NA;12.03;19.41;2.1;1.7;2.8;1.9;20111206;498873.5299;8990581.831;;;
JAM_A02;T01;80;CATUABA;Abuta grandifolia;Menispermaceae;0.45;56;0.246300864;2.885610024;0.56;0.439822972;5.152875043;O;E;1;A;NA;25.14;40.17;5.9;5.6;1.8;8.4;20111206;498879.9982;8990604.667;;;
JAM_A02;T01;81;PENTE DE MACACO;Apeiba echinata;Malvaceae;0.28;43.6;0.149301049;0.855686745;0.436;0.342433599;1.962584277;O;C;1;A;NA;16.88;32.08;3.6;3.5;8.4;5.3;20111206;498875.2688;8990610.715;;;
JAM_A02;T01;82;FREIJO BRANCO;Cordia scabrifolia;Boraginaceae;0.47;49.5;0.192442185;2.133952222;0.495;0.388772091;4.31101459;O;C;1;A;NA;24.93;36.1;4.6;4.2;2.8;5.8;20111206;498874.2275;8990615.726;;;
JAM_A02;T01;83;NI;NI;NI;0.62;14.5;0.016512996;0.063413628;0.145;0.113882734;0.437335366;O;NA;NA;A;NA;NA;9.56;NA;NA;NA;NA;20111206;498872.8276;8990615.74;;;
JAM_A02;T01;84;TAXI VERMELHO;Tachigali alba;Fabaceae;0.56;54;0.229022104;4.060001178;0.54;0.424115008;7.518520699;O;E;1;A;NA;24.37;48.82;3.7;3.4;4.6;1;20111206;498874.6792;8990654.223;;;
JAM_A02;T01;85;BREU MANGA;Tetragastris altissima;Burseraceae;0.71;15.2;0.018145839;0.132046352;0.152;0.119380521;0.868726001;O;S;2;A;NA;8.12;15.86;3.5;2.5;2.7;3;20111206;498873.8897;8990655.131;;;
JAM_A02;T01;86;ENVIRA CAJU;Guatteria olivacea;Annonaceae;0.46;33.2;0.086569727;0.65521698;0.332;0.26075219;1.973545119;O;C;1;A;NA;19.63;25.63;3.6;0;2.2;3;20111206;498874.0062;8990656.53;;;
JAM_A02;T01;87;NI;NI;NI;0.62;14.3;0.016060607;0.061657127;0.143;0.112311937;0.431168723;O;NA;NA;A;NA;NA;9.55;NA;NA;NA;NA;20111206;498875.7874;8990950.8;;;
