Area,trans,tree,common.name,scientific.name,family.name,DBH.09,type.09,canopy.09,light.09,Dead.09,D.class.09,Hcom.09,Htot.09,RN.09,RS.09,RE.09,RW.09,DBH.11,type.11,canopy.11,light.11,Dead.11,D.class.11,X.11,Y.11,Hcom.11,Htot.11,RN.11,RS.11,RE.11,RW.11,UTM.Easting,UTM.Northing
DUC_A01,T02,1395,pau branco,Rinorea racemosa,Violaceae,24.1,O,C,1,FALSE,NA,17.42,25.28,6.35,3.8,3.25,4.2,24.4,O,S,2,FALSE,NA,-0.8,190.2,22.09,26.1,6.7,2.8,3.3,4.2,175088.2038,9674572.197
DUC_A01,T02,1398,inga,Inga marginata,Fabaceae,19,O,C,1,FALSE,NA,14.39,23.17,3.75,2.2,4.05,2.8,21.4,O,S,1,FALSE,NA,-1.3,179.6,13.72,22.57,3.3,1.4,2.8,2.2,175089.2566,9674562.456
DUC_A01,T02,1399,ucuuba,Virola michelii,Myristicaceae,26.7,O,E,1,FALSE,NA,10.19,20.06,2.7,2.3,3.05,2.1,28.1,O,E,1,FALSE,NA,-2.7,168.6,18.93,27.28,2.4,2.5,2.3,2.7,175089.5117,9674552.004
DUC_A01,T02,1401,sorva,Couma guianensis,Apocynaceae,38.4,O,E,1,FALSE,NA,23.04,28.26,4.6,2.7,4,2.2,39.3,O,E,1,FALSE,NA,-2.8,160,16.5,24.6,2.8,1.8,4.4,1.2,175090.6865,9674544.03
DUC_A01,T02,1402,ingarana,Inga sp.,Fabaceae,11.1,O,C,2,FALSE,NA,8.42,12.08,0.9,0.75,0.65,1,11,O,S,2,FALSE,NA,-0.4,158.4,7.81,10.57,2.2,0.6,0.8,0.8,175093.3293,9674542.705
DUC_A01,T02,1403,matamata,Eschweilera parviflora,Lecythidaceae,37.7,O,C,1,FALSE,NA,8.25,11.74,1.9,1.55,2.2,1.6,37.4,O,NA,NA,FALSE,NA,-1.2,157.7,5.63,10.09,0.2,0.2,0.2,0.2,175092.6303,9674542.01
DUC_A01,T02,1406,breu,Protium heptaphyllum,Burseraceae,12.1,O,C,2,FALSE,NA,15.02,31.15,2.4,1.5,1.4,3.5,12.2,O,S,2,FALSE,NA,-0.2,103.3,7.6,19.43,1.6,1.4,1.7,2.4,175101.7142,9674491.582
DUC_A01,T02,1407,cumaru,Dipteryx odorata,Fabaceae,24,O,C,2,FALSE,NA,15.67,23.69,4.15,2.05,4.7,3.4,24.8,O,D,2,FALSE,NA,-0.2,96.5,17.18,26.3,2.6,2.6,3,3.2,175102.7149,9674485.33
DUC_A01,T02,1408,mapatirana,Pourouma villosa,Urticaceae,5.2,O,S,3,FALSE,NA,2.99,8.1,2,1.75,1.75,1.6,6.2,O,S,3,FALSE,NA,0,92.2,6.63,8.74,1.7,1.5,2,1.8,175103.5492,9674481.383
DUC_A01,T02,1409,andirobarana,Guarea guidonia,Meliaceae,21.1,O,C,2,FALSE,NA,14.07,19.62,4,2.1,3.1,2.65,21.3,O,S,2,FALSE,NA,-0.55,87.3,10.92,18.86,3,2.3,3.6,2.6,175103.8397,9674476.63
